Ozono Rad.S Viento Temp
3.7135 190 7.4 67
3.5835 118 8.0 72
2.4849 149 12.6 74
2.8903 313 11.5 62
3.1354 299 8.6 65
2.9444 99 13.8 59
2.0794 19 20.1 61
2.7725 256 9.7 69
2.3979 290 9.2 66
2.6390 274 10.9 68
2.8903 65 13.2 58
2.6390 334 11.5 64
3.5263 307 12.0 66
1.7917 78 18.4 57
3.4012 322 11.5 68
2.3979 44 9.7 62
0.0000 8 9.7 59
2.3979 320 16.6 73
1.3862 25 9.7 61
3.4657 92 12.0 61
3.1354 13 12.0 67
3.8066 252 14.9 81
4.7449 223 5.7 79
3.6109 279 7.4 76
3.3673 127 9.7 82
4.2626 291 13.8 90
3.6635 323 11.5 87
3.1354 148 8.0 82
3.0445 191 14.9 77
3.6109 284 20.7 72
2.9957 37 9.2 65
2.4849 120 11.5 73
2.5649 137 10.3 76
4.9052 269 4.1 84
3.8918 248 9.2 85
3.4657 236 9.2 81
4.1588 175 4.6 83
3.6888 314 10.9 83
4.3438 276 5.1 88
4.5747 267 6.3 92
4.5747 272 5.7 92
